x,y,value
0.00000,0,1.85325
0.05000,0,1.85325
0.10000,0,1.85326
0.15000,0,1.85327
0.20000,0,1.85329
0.25000,0,1.85331
0.30000,0,1.85333
0.35000,0,1.85336
0.40000,0,1.85339
0.45000,0,1.85342
0.50000,0,1.85346
0.55000,0,1.85350
0.60000,0,1.85355
0.65000,0,1.85360
0.70000,0,1.85365
0.75000,0,1.85371
0.80000,0,1.85377
0.85000,0,1.85384
0.90000,0,1.85390
0.95000,0,1.85398
1.00000,0,1.85405
1.05000,0,1.85413
1.10000,0,1.85421
1.15000,0,1.85429
1.20000,0,1.85437
1.25000,0,1.85445
1.30000,0,1.85454
1.35000,0,1.85462
1.40000,0,1.85471
1.45000,0,1.85480
1.50000,0,1.85489
1.55000,0,1.85498
1.60000,0,1.85507
1.65000,0,1.85517
1.70000,0,1.85526
1.75000,0,1.85536
1.80000,0,1.85546
1.85000,0,1.85556
1.90000,0,1.85566
1.95000,0,1.85577
2.00000,0,1.85587
2.05000,0,1.85598
2.10000,0,1.85609
2.15000,0,1.85620
2.20000,0,1.85631
2.25000,0,1.85642
2.30000,0,1.85653
2.35000,0,1.85664
2.40000,0,1.85675
2.45000,0,1.85687
2.50000,0,1.85698
2.55000,0,1.85710
2.60000,0,1.85721
2.65000,0,1.85732
2.70000,0,1.85744
2.75000,0,1.85755
2.80000,0,1.85766
2.85000,0,1.85778
2.90000,0,1.85789
2.95000,0,1.85800
3.00000,0,1.85811
3.05000,0,1.85822
3.10000,0,1.85833
3.15000,0,1.85844
3.20000,0,1.85855
3.25000,0,1.85865
3.30000,0,1.85876
3.35000,0,1.85886
3.40000,0,1.85896
3.45000,0,1.85906
3.50000,0,1.85916
3.55000,0,1.85926
3.60000,0,1.85935
3.65000,0,1.85944
3.70000,0,1.85953
3.75000,0,1.85962
3.80000,0,1.85971
3.85000,0,1.85979
3.90000,0,1.85987
3.95000,0,1.85995
4.00000,0,1.86003
4.05000,0,1.86010
4.10000,0,1.86017
4.15000,0,1.86024
4.20000,0,1.86030
4.25000,0,1.86036
4.30000,0,1.86042
4.35000,0,1.86047
4.40000,0,1.86052
4.45000,0,1.86057
4.50000,0,1.86062
4.55000,0,1.86066
4.60000,0,1.86069
4.65000,0,1.86073
4.70000,0,1.86076
4.75000,0,1.86078
4.80000,0,1.86080
4.85000,0,1.86082
4.90000,0,1.86084
4.95000,0,1.86085
5.00000,0,1.86085
5.05000,0,1.86085
5.10000,0,1.86085
5.15000,0,1.86084
5.20000,0,1.86083
5.25000,0,1.86081
5.30000,0,1.86079
5.35000,0,1.86077
5.40000,0,1.86074
5.45000,0,1.86071
5.50000,0,1.86068
5.55000,0,1.86064
5.60000,0,1.86060
5.65000,0,1.86055
5.70000,0,1.86050
5.75000,0,1.86045
5.80000,0,1.86039
5.85000,0,1.86033
5.90000,0,1.86027
5.95000,0,1.86021
6.00000,0,1.86014
6.05000,0,1.86007
6.10001,0,1.86000
6.15001,0,1.85992
6.20001,0,1.85984
6.25001,0,1.85976
6.30001,0,1.85968
6.35001,0,1.85959
6.40001,0,1.85950
6.45001,0,1.85941
6.50001,0,1.85932
6.55001,0,1.85923
6.60001,0,1.85913
6.65001,0,1.85903
6.70001,0,1.85893
6.75001,0,1.85883
6.80001,0,1.85873
6.85001,0,1.85863
6.90001,0,1.85852
6.95001,0,1.85842
7.00001,0,1.85831
7.05001,0,1.85820
7.10001,0,1.85810
7.15001,0,1.85799
7.20001,0,1.85788
7.25001,0,1.85777
7.30001,0,1.85766
7.35001,0,1.85755
7.40001,0,1.85744
7.45001,0,1.85733
7.50001,0,1.85722
7.55001,0,1.85710
7.60001,0,1.85699
7.65001,0,1.85688
7.70001,0,1.85678
7.75001,0,1.85667
7.80001,0,1.85656
7.85001,0,1.85645
7.90001,0,1.85634
7.95001,0,1.85624
8.00001,0,1.85614
8.05001,0,1.85603
8.10001,0,1.85593
8.15001,0,1.85583
8.20001,0,1.85573
8.25001,0,1.85563
8.30001,0,1.85554
8.35001,0,1.85544
8.40001,0,1.85535
8.45001,0,1.85526
8.50001,0,1.85517
8.55001,0,1.85509
8.60001,0,1.85500
8.65001,0,1.85492
8.70002,0,1.85484
8.75002,0,1.85476
8.80002,0,1.85468
8.85002,0,1.85461
8.90002,0,1.85453
8.95002,0,1.85446
9.00002,0,1.85439
9.05002,0,1.85433
9.10002,0,1.85426
9.15002,0,1.85420
9.20002,0,1.85413
9.25002,0,1.85407
9.30002,0,1.85402
9.35002,0,1.85397
9.40002,0,1.85392
9.45002,0,1.85387
9.50002,0,1.85383
9.55002,0,1.85379
9.60002,0,1.85376
9.65002,0,1.85373
9.70002,0,1.85370
9.75002,0,1.85368
9.80002,0,1.85366
9.85002,0,1.85364
9.90002,0,1.85363
9.95002,0,1.85362
10.00002,0,1.85362


