x,y,value
0.00000,0,0.00028
0.05000,0,0.00028
0.10000,0,0.00028
0.15000,0,0.00029
0.20000,0,0.00029
0.25000,0,0.00030
0.30000,0,0.00031
0.35000,0,0.00032
0.40000,0,0.00033
0.45000,0,0.00034
0.50000,0,0.00036
0.55000,0,0.00037
0.60000,0,0.00039
0.65000,0,0.00041
0.70000,0,0.00043
0.75000,0,0.00046
0.80000,0,0.00048
0.85000,0,0.00051
0.90000,0,0.00054
0.95000,0,0.00057
1.00000,0,0.00060
1.05000,0,0.00064
1.10000,0,0.00068
1.15000,0,0.00072
1.20000,0,0.00077
1.25000,0,0.00082
1.30000,0,0.00087
1.35000,0,0.00092
1.40000,0,0.00098
1.45000,0,0.00104
1.50000,0,0.00111
1.55000,0,0.00118
1.60000,0,0.00126
1.65000,0,0.00133
1.70000,0,0.00142
1.75000,0,0.00151
1.80000,0,0.00160
1.85000,0,0.00170
1.90000,0,0.00181
1.95000,0,0.00192
2.00000,0,0.00204
2.05000,0,0.00216
2.10000,0,0.00229
2.15000,0,0.00243
2.20000,0,0.00258
2.25000,0,0.00273
2.30000,0,0.00289
2.35000,0,0.00306
2.40000,0,0.00324
2.45000,0,0.00343
2.50000,0,0.00363
2.55000,0,0.00384
2.60000,0,0.00406
2.65000,0,0.00429
2.70000,0,0.00453
2.75000,0,0.00479
2.80000,0,0.00505
2.85000,0,0.00533
2.90000,0,0.00562
2.95000,0,0.00592
3.00000,0,0.00624
3.05000,0,0.00657
3.10000,0,0.00692
3.15000,0,0.00727
3.20000,0,0.00765
3.25000,0,0.00803
3.30000,0,0.00844
3.35000,0,0.00885
3.40000,0,0.00928
3.45000,0,0.00973
3.50000,0,0.01019
3.55000,0,0.01067
3.60000,0,0.01115
3.65000,0,0.01166
3.70000,0,0.01217
3.75000,0,0.01270
3.80000,0,0.01324
3.85000,0,0.01379
3.90000,0,0.01435
3.95000,0,0.01492
4.00000,0,0.01549
4.05000,0,0.01607
4.10000,0,0.01665
4.15000,0,0.01724
4.20000,0,0.01782
4.25000,0,0.01840
4.30000,0,0.01898
4.35000,0,0.01954
4.40000,0,0.02010
4.45000,0,0.02063
4.50000,0,0.02115
4.55000,0,0.02165
4.60000,0,0.02211
4.65000,0,0.02255
4.70000,0,0.02294
4.75000,0,0.02330
4.80000,0,0.02360
4.85000,0,0.02386
4.90000,0,0.02405
4.95000,0,0.02418
5.00000,0,0.02425
5.05000,0,0.02425
5.10000,0,0.02418
5.15000,0,0.02405
5.20000,0,0.02386
5.25000,0,0.02360
5.30000,0,0.02330
5.35000,0,0.02294
5.40000,0,0.02255
5.45000,0,0.02211
5.50000,0,0.02165
5.55000,0,0.02115
5.60000,0,0.02063
5.65000,0,0.02010
5.70000,0,0.01954
5.75000,0,0.01898
5.80000,0,0.01840
5.85000,0,0.01782
5.90000,0,0.01724
5.95000,0,0.01665
6.00000,0,0.01607
6.05000,0,0.01549
6.10001,0,0.01492
6.15001,0,0.01435
6.20001,0,0.01379
6.25001,0,0.01324
6.30001,0,0.01270
6.35001,0,0.01217
6.40001,0,0.01166
6.45001,0,0.01115
6.50001,0,0.01067
6.55001,0,0.01019
6.60001,0,0.00973
6.65001,0,0.00928
6.70001,0,0.00885
6.75001,0,0.00844
6.80001,0,0.00803
6.85001,0,0.00765
6.90001,0,0.00727
6.95001,0,0.00692
7.00001,0,0.00657
7.05001,0,0.00624
7.10001,0,0.00592
7.15001,0,0.00562
7.20001,0,0.00533
7.25001,0,0.00505
7.30001,0,0.00479
7.35001,0,0.00453
7.40001,0,0.00429
7.45001,0,0.00406
7.50001,0,0.00384
7.55001,0,0.00363
7.60001,0,0.00343
7.65001,0,0.00325
7.70001,0,0.00307
7.75001,0,0.00289
7.80001,0,0.00273
7.85001,0,0.00258
7.90001,0,0.00243
7.95001,0,0.00229
8.00001,0,0.00216
8.05001,0,0.00204
8.10001,0,0.00192
8.15001,0,0.00181
8.20001,0,0.00170
8.25001,0,0.00160
8.30001,0,0.00151
8.35001,0,0.00142
8.40001,0,0.00134
8.45001,0,0.00126
8.50001,0,0.00118
8.55001,0,0.00111
8.60001,0,0.00105
8.65001,0,0.00099
8.70002,0,0.00093
8.75002,0,0.00087
8.80002,0,0.00082
8.85002,0,0.00077
8.90002,0,0.00073
8.95002,0,0.00069
9.00002,0,0.00065
9.05002,0,0.00061
9.10002,0,0.00058
9.15002,0,0.00054
9.20002,0,0.00051
9.25002,0,0.00049
9.30002,0,0.00046
9.35002,0,0.00044
9.40002,0,0.00042
9.45002,0,0.00040
9.50002,0,0.00038
9.55002,0,0.00037
9.60002,0,0.00035
9.65002,0,0.00034
9.70002,0,0.00033
9.75002,0,0.00032
9.80002,0,0.00031
9.85002,0,0.00031
9.90002,0,0.00030
9.95002,0,0.00030
10.00002,0,0.00030


