x,y,value
0.00000,0,13.96620
0.05000,0,13.96659
0.10000,0,13.96738
0.15000,0,13.96857
0.20000,0,13.97014
0.25000,0,13.97211
0.30000,0,13.97447
0.35000,0,13.97721
0.40000,0,13.98034
0.45000,0,13.98385
0.50000,0,13.98773
0.55000,0,13.99200
0.60000,0,13.99663
0.65000,0,14.00162
0.70000,0,14.00698
0.75000,0,14.01269
0.80000,0,14.01875
0.85000,0,14.02516
0.90000,0,14.03190
0.95000,0,14.03897
1.00000,0,14.04637
1.05000,0,14.05409
1.10000,0,14.06211
1.15000,0,14.07044
1.20000,0,14.07906
1.25000,0,14.08797
1.30000,0,14.09715
1.35000,0,14.10661
1.40000,0,14.11633
1.45000,0,14.12629
1.50000,0,14.13650
1.55000,0,14.14694
1.60000,0,14.15761
1.65000,0,14.16848
1.70000,0,14.17956
1.75000,0,14.19083
1.80000,0,14.20229
1.85000,0,14.21391
1.90000,0,14.22570
1.95000,0,14.23763
2.00000,0,14.24971
2.05000,0,14.26191
2.10000,0,14.27424
2.15000,0,14.28667
2.20000,0,14.29919
2.25000,0,14.31180
2.30000,0,14.32448
2.35000,0,14.33722
2.40000,0,14.35001
2.45000,0,14.36284
2.50000,0,14.37569
2.55000,0,14.38856
2.60000,0,14.40142
2.65000,0,14.41428
2.70000,0,14.42712
2.75000,0,14.43993
2.80000,0,14.45269
2.85000,0,14.46540
2.90000,0,14.47803
2.95000,0,14.49059
3.00000,0,14.50306
3.05000,0,14.51543
3.10000,0,14.52768
3.15000,0,14.53981
3.20000,0,14.55180
3.25000,0,14.56364
3.30000,0,14.57532
3.35000,0,14.58683
3.40000,0,14.59816
3.45000,0,14.60929
3.50000,0,14.62023
3.55000,0,14.63095
3.60000,0,14.64145
3.65000,0,14.65171
3.70000,0,14.66173
3.75000,0,14.67149
3.80000,0,14.68098
3.85000,0,14.69021
3.90000,0,14.69915
3.95000,0,14.70779
4.00000,0,14.71614
4.05000,0,14.72417
4.10000,0,14.73188
4.15000,0,14.73926
4.20000,0,14.74631
4.25000,0,14.75301
4.30000,0,14.75936
4.35000,0,14.76535
4.40000,0,14.77097
4.45000,0,14.77622
4.50000,0,14.78108
4.55000,0,14.78556
4.60000,0,14.78965
4.65000,0,14.79334
4.70000,0,14.79663
4.75000,0,14.79952
4.80000,0,14.80199
4.85000,0,14.80400
4.90000,0,14.80552
4.95000,0,14.80657
5.00000,0,14.80714
5.05000,0,14.80723
5.10000,0,14.80685
5.15000,0,14.80598
5.20000,0,14.80464
5.25000,0,14.80282
5.30000,0,14.80053
5.35000,0,14.79783
5.40000,0,14.79473
5.45000,0,14.79122
5.50000,0,14.78732
5.55000,0,14.78303
5.60000,0,14.77836
5.65000,0,14.77330
5.70000,0,14.76788
5.75000,0,14.76208
5.80000,0,14.75593
5.85000,0,14.74943
5.90000,0,14.74259
5.95000,0,14.73541
6.00000,0,14.72791
6.05000,0,14.72008
6.10001,0,14.71195
6.15001,0,14.70352
6.20001,0,14.69480
6.25001,0,14.68580
6.30001,0,14.67653
6.35001,0,14.66699
6.40001,0,14.65721
6.45001,0,14.64718
6.50001,0,14.63692
6.55001,0,14.62645
6.60001,0,14.61576
6.65001,0,14.60487
6.70001,0,14.59380
6.75001,0,14.58254
6.80001,0,14.57113
6.85001,0,14.55955
6.90001,0,14.54783
6.95001,0,14.53598
7.00001,0,14.52401
7.05001,0,14.51193
7.10001,0,14.49975
7.15001,0,14.48749
7.20001,0,14.47515
7.25001,0,14.46275
7.30001,0,14.45030
7.35001,0,14.43780
7.40001,0,14.42528
7.45001,0,14.41275
7.50001,0,14.40020
7.55001,0,14.38767
7.60001,0,14.37516
7.65001,0,14.36267
7.70001,0,14.35023
7.75001,0,14.33785
7.80001,0,14.32553
7.85001,0,14.31328
7.90001,0,14.30113
7.95001,0,14.28907
8.00001,0,14.27713
8.05001,0,14.26531
8.10001,0,14.25362
8.15001,0,14.24207
8.20001,0,14.23068
8.25001,0,14.21946
8.30001,0,14.20841
8.35001,0,14.19754
8.40001,0,14.18688
8.45001,0,14.17642
8.50001,0,14.16617
8.55001,0,14.15616
8.60001,0,14.14638
8.65001,0,14.13684
8.70002,0,14.12756
8.75002,0,14.11854
8.80002,0,14.10979
8.85002,0,14.10132
8.90002,0,14.09314
8.95002,0,14.08525
9.00002,0,14.07767
9.05002,0,14.07040
9.10002,0,14.06344
9.15002,0,14.05681
9.20002,0,14.05052
9.25002,0,14.04456
9.30002,0,14.03895
9.35002,0,14.03368
9.40002,0,14.02877
9.45002,0,14.02422
9.50002,0,14.02003
9.55002,0,14.01621
9.60002,0,14.01276
9.65002,0,14.00968
9.70002,0,14.00699
9.75002,0,14.00467
9.80002,0,14.00274
9.85002,0,14.00119
9.90002,0,14.00002
9.95002,0,13.99925
10.00002,0,13.99886


