x,y,value
0.00000,0,0.00053
0.05000,0,0.00053
0.10000,0,0.00053
0.15000,0,0.00054
0.20000,0,0.00055
0.25000,0,0.00056
0.30000,0,0.00057
0.35000,0,0.00059
0.40000,0,0.00061
0.45000,0,0.00063
0.50000,0,0.00065
0.55000,0,0.00068
0.60000,0,0.00071
0.65000,0,0.00074
0.70000,0,0.00078
0.75000,0,0.00082
0.80000,0,0.00086
0.85000,0,0.00090
0.90000,0,0.00095
0.95000,0,0.00100
1.00000,0,0.00106
1.05000,0,0.00111
1.10000,0,0.00118
1.15000,0,0.00125
1.20000,0,0.00132
1.25000,0,0.00139
1.30000,0,0.00147
1.35000,0,0.00156
1.40000,0,0.00165
1.45000,0,0.00175
1.50000,0,0.00185
1.55000,0,0.00196
1.60000,0,0.00207
1.65000,0,0.00220
1.70000,0,0.00232
1.75000,0,0.00246
1.80000,0,0.00260
1.85000,0,0.00275
1.90000,0,0.00291
1.95000,0,0.00308
2.00000,0,0.00325
2.05000,0,0.00344
2.10000,0,0.00363
2.15000,0,0.00384
2.20000,0,0.00405
2.25000,0,0.00428
2.30000,0,0.00451
2.35000,0,0.00476
2.40000,0,0.00502
2.45000,0,0.00529
2.50000,0,0.00558
2.55000,0,0.00587
2.60000,0,0.00619
2.65000,0,0.00651
2.70000,0,0.00685
2.75000,0,0.00720
2.80000,0,0.00757
2.85000,0,0.00796
2.90000,0,0.00835
2.95000,0,0.00877
3.00000,0,0.00920
3.05000,0,0.00965
3.10000,0,0.01011
3.15000,0,0.01059
3.20000,0,0.01109
3.25000,0,0.01161
3.30000,0,0.01214
3.35000,0,0.01269
3.40000,0,0.01325
3.45000,0,0.01383
3.50000,0,0.01443
3.55000,0,0.01504
3.60000,0,0.01566
3.65000,0,0.01630
3.70000,0,0.01696
3.75000,0,0.01762
3.80000,0,0.01830
3.85000,0,0.01898
3.90000,0,0.01968
3.95000,0,0.02038
4.00000,0,0.02108
4.05000,0,0.02179
4.10000,0,0.02250
4.15000,0,0.02320
4.20000,0,0.02390
4.25000,0,0.02460
4.30000,0,0.02528
4.35000,0,0.02595
4.40000,0,0.02660
4.45000,0,0.02723
4.50000,0,0.02783
4.55000,0,0.02841
4.60000,0,0.02895
4.65000,0,0.02944
4.70000,0,0.02990
4.75000,0,0.03030
4.80000,0,0.03065
4.85000,0,0.03094
4.90000,0,0.03115
4.95000,0,0.03130
5.00000,0,0.03138
5.05000,0,0.03138
5.10000,0,0.03130
5.15000,0,0.03115
5.20000,0,0.03094
5.25000,0,0.03065
5.30000,0,0.03030
5.35000,0,0.02990
5.40000,0,0.02944
5.45000,0,0.02895
5.50000,0,0.02841
5.55000,0,0.02783
5.60000,0,0.02723
5.65000,0,0.02660
5.70000,0,0.02595
5.75000,0,0.02528
5.80000,0,0.02460
5.85000,0,0.02390
5.90000,0,0.02320
5.95000,0,0.02250
6.00000,0,0.02179
6.05000,0,0.02108
6.10001,0,0.02038
6.15001,0,0.01968
6.20001,0,0.01898
6.25001,0,0.01830
6.30001,0,0.01762
6.35001,0,0.01696
6.40001,0,0.01630
6.45001,0,0.01566
6.50001,0,0.01504
6.55001,0,0.01443
6.60001,0,0.01383
6.65001,0,0.01325
6.70001,0,0.01269
6.75001,0,0.01214
6.80001,0,0.01161
6.85001,0,0.01109
6.90001,0,0.01059
6.95001,0,0.01011
7.00001,0,0.00965
7.05001,0,0.00920
7.10001,0,0.00877
7.15001,0,0.00836
7.20001,0,0.00796
7.25001,0,0.00757
7.30001,0,0.00720
7.35001,0,0.00685
7.40001,0,0.00651
7.45001,0,0.00619
7.50001,0,0.00588
7.55001,0,0.00558
7.60001,0,0.00529
7.65001,0,0.00502
7.70001,0,0.00476
7.75001,0,0.00452
7.80001,0,0.00428
7.85001,0,0.00405
7.90001,0,0.00384
7.95001,0,0.00364
8.00001,0,0.00344
8.05001,0,0.00326
8.10001,0,0.00308
8.15001,0,0.00291
8.20001,0,0.00276
8.25001,0,0.00261
8.30001,0,0.00246
8.35001,0,0.00233
8.40001,0,0.00220
8.45001,0,0.00208
8.50001,0,0.00196
8.55001,0,0.00186
8.60001,0,0.00175
8.65001,0,0.00166
8.70002,0,0.00157
8.75002,0,0.00148
8.80002,0,0.00140
8.85002,0,0.00132
8.90002,0,0.00125
8.95002,0,0.00119
9.00002,0,0.00112
9.05002,0,0.00107
9.10002,0,0.00101
9.15002,0,0.00096
9.20002,0,0.00091
9.25002,0,0.00087
9.30002,0,0.00083
9.35002,0,0.00079
9.40002,0,0.00076
9.45002,0,0.00073
9.50002,0,0.00070
9.55002,0,0.00067
9.60002,0,0.00065
9.65002,0,0.00063
9.70002,0,0.00061
9.75002,0,0.00060
9.80002,0,0.00059
9.85002,0,0.00058
9.90002,0,0.00057
9.95002,0,0.00057
10.00002,0,0.00056


