x,y,value
0.00000,0,1.73668
0.05000,0,1.73669
0.10000,0,1.73671
0.15000,0,1.73675
0.20000,0,1.73679
0.25000,0,1.73685
0.30000,0,1.73691
0.35000,0,1.73699
0.40000,0,1.73708
0.45000,0,1.73718
0.50000,0,1.73730
0.55000,0,1.73742
0.60000,0,1.73755
0.65000,0,1.73770
0.70000,0,1.73786
0.75000,0,1.73802
0.80000,0,1.73820
0.85000,0,1.73839
0.90000,0,1.73859
0.95000,0,1.73879
1.00000,0,1.73900
1.05000,0,1.73922
1.10000,0,1.73945
1.15000,0,1.73968
1.20000,0,1.73992
1.25000,0,1.74017
1.30000,0,1.74043
1.35000,0,1.74070
1.40000,0,1.74098
1.45000,0,1.74126
1.50000,0,1.74155
1.55000,0,1.74185
1.60000,0,1.74215
1.65000,0,1.74246
1.70000,0,1.74278
1.75000,0,1.74311
1.80000,0,1.74344
1.85000,0,1.74377
1.90000,0,1.74411
1.95000,0,1.74445
2.00000,0,1.74480
2.05000,0,1.74516
2.10000,0,1.74551
2.15000,0,1.74588
2.20000,0,1.74624
2.25000,0,1.74660
2.30000,0,1.74697
2.35000,0,1.74732
2.40000,0,1.74768
2.45000,0,1.74803
2.50000,0,1.74839
2.55000,0,1.74874
2.60000,0,1.74909
2.65000,0,1.74944
2.70000,0,1.74980
2.75000,0,1.75015
2.80000,0,1.75050
2.85000,0,1.75085
2.90000,0,1.75120
2.95000,0,1.75154
3.00000,0,1.75189
3.05000,0,1.75223
3.10000,0,1.75257
3.15000,0,1.75291
3.20000,0,1.75324
3.25000,0,1.75357
3.30000,0,1.75389
3.35000,0,1.75421
3.40000,0,1.75453
3.45000,0,1.75484
3.50000,0,1.75514
3.55000,0,1.75544
3.60000,0,1.75573
3.65000,0,1.75601
3.70000,0,1.75628
3.75000,0,1.75653
3.80000,0,1.75678
3.85000,0,1.75702
3.90000,0,1.75726
3.95000,0,1.75748
4.00000,0,1.75770
4.05000,0,1.75791
4.10000,0,1.75811
4.15000,0,1.75831
4.20000,0,1.75849
4.25000,0,1.75867
4.30000,0,1.75884
4.35000,0,1.75899
4.40000,0,1.75914
4.45000,0,1.75928
4.50000,0,1.75941
4.55000,0,1.75953
4.60000,0,1.75963
4.65000,0,1.75973
4.70000,0,1.75981
4.75000,0,1.75989
4.80000,0,1.75995
4.85000,0,1.76000
4.90000,0,1.76004
4.95000,0,1.76007
5.00000,0,1.76008
5.05000,0,1.76009
5.10000,0,1.76008
5.15000,0,1.76006
5.20000,0,1.76002
5.25000,0,1.75998
5.30000,0,1.75992
5.35000,0,1.75985
5.40000,0,1.75977
5.45000,0,1.75968
5.50000,0,1.75958
5.55000,0,1.75947
5.60000,0,1.75934
5.65000,0,1.75921
5.70000,0,1.75907
5.75000,0,1.75892
5.80000,0,1.75876
5.85000,0,1.75859
5.90000,0,1.75841
5.95000,0,1.75822
6.00000,0,1.75802
6.05000,0,1.75782
6.10001,0,1.75761
6.15001,0,1.75739
6.20001,0,1.75716
6.25001,0,1.75692
6.30001,0,1.75668
6.35001,0,1.75643
6.40001,0,1.75617
6.45001,0,1.75591
6.50001,0,1.75563
6.55001,0,1.75534
6.60001,0,1.75504
6.65001,0,1.75474
6.70001,0,1.75443
6.75001,0,1.75412
6.80001,0,1.75380
6.85001,0,1.75348
6.90001,0,1.75316
6.95001,0,1.75283
7.00001,0,1.75250
7.05001,0,1.75216
7.10001,0,1.75183
7.15001,0,1.75149
7.20001,0,1.75115
7.25001,0,1.75081
7.30001,0,1.75047
7.35001,0,1.75012
7.40001,0,1.74978
7.45001,0,1.74944
7.50001,0,1.74909
7.55001,0,1.74875
7.60001,0,1.74841
7.65001,0,1.74807
7.70001,0,1.74773
7.75001,0,1.74739
7.80001,0,1.74704
7.85001,0,1.74669
7.90001,0,1.74634
7.95001,0,1.74599
8.00001,0,1.74565
8.05001,0,1.74531
8.10001,0,1.74497
8.15001,0,1.74464
8.20001,0,1.74431
8.25001,0,1.74399
8.30001,0,1.74367
8.35001,0,1.74336
8.40001,0,1.74305
8.45001,0,1.74276
8.50001,0,1.74246
8.55001,0,1.74218
8.60001,0,1.74190
8.65001,0,1.74163
8.70002,0,1.74137
8.75002,0,1.74111
8.80002,0,1.74087
8.85002,0,1.74063
8.90002,0,1.74040
8.95002,0,1.74018
9.00002,0,1.73997
9.05002,0,1.73976
9.10002,0,1.73957
9.15002,0,1.73939
9.20002,0,1.73921
9.25002,0,1.73905
9.30002,0,1.73889
9.35002,0,1.73874
9.40002,0,1.73860
9.45002,0,1.73847
9.50002,0,1.73835
9.55002,0,1.73824
9.60002,0,1.73814
9.65002,0,1.73805
9.70002,0,1.73797
9.75002,0,1.73791
9.80002,0,1.73785
9.85002,0,1.73781
9.90002,0,1.73777
9.95002,0,1.73775
10.00002,0,1.73774


