x,y,value
0.00000,0,7.11528
0.05000,0,7.11610
0.10000,0,7.11772
0.15000,0,7.12015
0.20000,0,7.12340
0.25000,0,7.12745
0.30000,0,7.13231
0.35000,0,7.13797
0.40000,0,7.14443
0.45000,0,7.15167
0.50000,0,7.15969
0.55000,0,7.16849
0.60000,0,7.17805
0.65000,0,7.18836
0.70000,0,7.19938
0.75000,0,7.21113
0.80000,0,7.22359
0.85000,0,7.23676
0.90000,0,7.25062
0.95000,0,7.26518
1.00000,0,7.28038
1.05000,0,7.29622
1.10000,0,7.31270
1.15000,0,7.32978
1.20000,0,7.34747
1.25000,0,7.36573
1.30000,0,7.38461
1.35000,0,7.40405
1.40000,0,7.42401
1.45000,0,7.44446
1.50000,0,7.46536
1.55000,0,7.48671
1.60000,0,7.50852
1.65000,0,7.53077
1.70000,0,7.55341
1.75000,0,7.57643
1.80000,0,7.59981
1.85000,0,7.62353
1.90000,0,7.64758
1.95000,0,7.67193
2.00000,0,7.69665
2.05000,0,7.72158
2.10000,0,7.74673
2.15000,0,7.77207
2.20000,0,7.79764
2.25000,0,7.82338
2.30000,0,7.84925
2.35000,0,7.87524
2.40000,0,7.90133
2.45000,0,7.92753
2.50000,0,7.95378
2.55000,0,7.98005
2.60000,0,8.00639
2.65000,0,8.03274
2.70000,0,8.05912
2.75000,0,8.08546
2.80000,0,8.11172
2.85000,0,8.13791
2.90000,0,8.16396
2.95000,0,8.18989
3.00000,0,8.21569
3.05000,0,8.24132
3.10000,0,8.26669
3.15000,0,8.29184
3.20000,0,8.31675
3.25000,0,8.34134
3.30000,0,8.36562
3.35000,0,8.38960
3.40000,0,8.41327
3.45000,0,8.43660
3.50000,0,8.45958
3.55000,0,8.48217
3.60000,0,8.50454
3.65000,0,8.52645
3.70000,0,8.54789
3.75000,0,8.56886
3.80000,0,8.58936
3.85000,0,8.60938
3.90000,0,8.62889
3.95000,0,8.64783
4.00000,0,8.66619
4.05000,0,8.68396
4.10000,0,8.70112
4.15000,0,8.71764
4.20000,0,8.73348
4.25000,0,8.74864
4.30000,0,8.76305
4.35000,0,8.77672
4.40000,0,8.78961
4.45000,0,8.80170
4.50000,0,8.81299
4.55000,0,8.82342
4.60000,0,8.83298
4.65000,0,8.84163
4.70000,0,8.84931
4.75000,0,8.85601
4.80000,0,8.91168
4.85000,0,8.91627
4.90000,0,8.91977
4.95000,0,8.92214
5.00000,0,8.92336
5.05000,0,8.92342
5.10000,0,8.92233
5.15000,0,8.92009
5.20000,0,8.91673
5.25000,0,8.91227
5.30000,0,8.85673
5.35000,0,8.85017
5.40000,0,8.84261
5.45000,0,8.83410
5.50000,0,8.82468
5.55000,0,8.81439
5.60000,0,8.80326
5.65000,0,8.79131
5.70000,0,8.77857
5.75000,0,8.76505
5.80000,0,8.75078
5.85000,0,8.73578
5.90000,0,8.72011
5.95000,0,8.70375
6.00000,0,8.68678
6.05000,0,8.66918
6.10001,0,8.65099
6.15001,0,8.63224
6.20001,0,8.61292
6.25001,0,8.59311
6.30001,0,8.57283
6.35001,0,8.55207
6.40001,0,8.53084
6.45001,0,8.50914
6.50001,0,8.48701
6.55001,0,8.46455
6.60001,0,8.44182
6.65001,0,8.41874
6.70001,0,8.39533
6.75001,0,8.37161
6.80001,0,8.34760
6.85001,0,8.32326
6.90001,0,8.29864
6.95001,0,8.27380
7.00001,0,8.24871
7.05001,0,8.22341
7.10001,0,8.19794
7.15001,0,8.17237
7.20001,0,8.14666
7.25001,0,8.12084
7.30001,0,8.09495
7.35001,0,8.06900
7.40001,0,8.04305
7.45001,0,8.01712
7.50001,0,7.99118
7.55001,0,7.96525
7.60001,0,7.93944
7.65001,0,7.91371
7.70001,0,7.88809
7.75001,0,7.86260
7.80001,0,7.83722
7.85001,0,7.81200
7.90001,0,7.78697
7.95001,0,7.76216
8.00001,0,7.73756
8.05001,0,7.71318
8.10001,0,7.68905
8.15001,0,7.66520
8.20001,0,7.64171
8.25001,0,7.61862
8.30001,0,7.59587
8.35001,0,7.57350
8.40001,0,7.55151
8.45001,0,7.52994
8.50001,0,7.50882
8.55001,0,7.48817
8.60001,0,7.46797
8.65001,0,7.44822
8.70002,0,7.42900
8.75002,0,7.41031
8.80002,0,7.39219
8.85002,0,7.37463
8.90002,0,7.35767
8.95002,0,7.34131
9.00002,0,7.32563
9.05002,0,7.31059
9.10002,0,7.29619
9.15002,0,7.28246
9.20002,0,7.26942
9.25002,0,7.25708
9.30002,0,7.24545
9.35002,0,7.23455
9.40002,0,7.22437
9.45002,0,7.21491
9.50002,0,7.20620
9.55002,0,7.19825
9.60002,0,7.19108
9.65002,0,7.18469
9.70002,0,7.17909
9.75002,0,7.17427
9.80002,0,7.17025
9.85002,0,7.16704
9.90002,0,7.16462
9.95002,0,7.16301
10.00002,0,7.16221


