,time,TD,N,CH
126,1.26000,12.24545,4.77543,3.85162
127,1.27000,12.24784,4.78914,3.85047
128,1.28000,12.25024,4.80284,3.84931
129,1.29000,12.25264,4.81654,3.84816
130,1.30000,12.25505,4.83023,3.84700
131,1.31000,12.25747,4.84391,3.84585
132,1.32000,12.25990,4.85759,3.84470
133,1.33000,12.26233,4.87126,3.84354
134,1.34000,12.26477,4.88493,3.84239
135,1.35000,12.26722,4.89859,3.84124
136,1.36000,12.26967,4.91225,3.84008
137,1.37000,12.27213,4.92590,3.83893
138,1.38000,12.27459,4.93954,3.83778
139,1.39000,12.27707,4.95318,3.83663
140,1.40000,12.27955,4.96682,3.83548
141,1.41000,12.28203,4.98045,3.83433
142,1.42000,12.28453,4.99407,3.83318
143,1.43000,12.28703,5.00769,3.83203
144,1.44000,12.28954,5.02130,3.83088
145,1.45000,12.29205,5.03491,3.82973
146,1.46000,12.29457,5.04851,3.82858
147,1.47000,12.29710,5.06211,3.82743
148,1.48000,12.29963,5.07570,3.82629
149,1.49000,12.30217,5.08928,3.82514
150,1.50000,12.30472,5.10286,3.82399
151,1.51000,12.30728,5.11644,3.82284
152,1.52000,12.30984,5.13001,3.82170
153,1.53000,12.31241,5.14357,3.82055
154,1.54000,12.31498,5.15713,3.81940
155,1.55000,12.31756,5.17068,3.81826
156,1.56000,12.32015,5.18423,3.81711
157,1.57000,12.32275,5.19777,3.81597
158,1.58000,12.32535,5.21131,3.81482
159,1.59000,12.32796,5.22484,3.81368
160,1.60000,12.33058,5.23837,3.81254
161,1.61000,12.33320,5.25189,3.81139
162,1.62000,12.33583,5.26540,3.81025
163,1.63000,12.33846,5.27891,3.80911
164,1.64000,12.34111,5.29242,3.80796
165,1.65000,12.34376,5.30592,3.80682
166,1.66000,12.34641,5.31942,3.80568
167,1.67000,12.34908,5.33291,3.80454
168,1.68000,12.35174,5.34639,3.80340
169,1.69000,12.35442,5.35987,3.80226
170,1.70000,12.35710,5.37334,3.80111
171,1.71000,12.35979,5.38681,3.79997
172,1.72000,12.36249,5.40028,3.79883
173,1.73000,12.36520,5.41373,3.79770
174,1.74000,12.36791,5.42719,3.79656
175,1.75000,12.37062,5.44064,3.79542
176,1.76000,12.37335,5.45408,3.79428
177,1.77000,12.37608,5.46752,3.79314
178,1.78000,12.37881,5.48095,3.79200
179,1.79000,12.38156,5.49438,3.79087
180,1.80000,12.38431,5.50780,3.78973
181,1.81000,12.38707,5.52122,3.78859
182,1.82000,12.38983,5.53463,3.78746
183,1.83000,12.39260,5.54804,3.78632
184,1.84000,12.39538,5.56144,3.78518
185,1.85000,12.39816,5.57484,3.78405
186,1.86000,12.40095,5.58823,3.78291
187,1.87000,12.40375,5.60162,3.78178
188,1.88000,12.40655,5.61500,3.78064
189,1.89000,12.40936,5.62838,3.77951
190,1.90000,12.41218,5.64175,3.77838
191,1.91000,12.41501,5.65512,3.77724
192,1.92000,12.41784,5.66848,3.77611
193,1.93000,12.42067,5.68184,3.77498
194,1.94000,12.42352,5.69519,3.77384
195,1.95000,12.42637,5.70854,3.77271
196,1.96000,12.42923,5.72188,3.77158
197,1.97000,12.43209,5.73522,3.77045
198,1.98000,12.43496,5.74855,3.76932
199,1.99000,12.43784,5.76188,3.76819
200,2.00000,12.44072,5.77520,3.76706
201,2.01000,12.44362,5.78852,3.76593
202,2.02000,12.44651,5.80183,3.76480
203,2.03000,12.44942,5.81514,3.76367
204,2.04000,12.45233,5.82844,3.76254
205,2.05000,12.45525,5.84174,3.76141
206,2.06000,12.45817,5.85503,3.76028
207,2.07000,12.46110,5.86832,3.75916
208,2.08000,12.46404,5.88160,3.75803
209,2.09000,12.46698,5.89488,3.75690
210,2.10000,12.46993,5.90816,3.75577
211,2.11000,12.47289,5.92143,3.75465
212,2.12000,12.47585,5.93469,3.75352
213,2.13000,12.47883,5.94795,3.75240
214,2.14000,12.48180,5.96120,3.75127
215,2.15000,12.48479,5.97445,3.75014
216,2.16000,12.48778,5.98770,3.74902
217,2.17000,12.49077,6.00094,3.74790
218,2.18000,12.49378,6.01418,3.74677
219,2.19000,12.49679,6.02741,3.74565
220,2.20000,12.49981,6.04063,3.74452
221,2.21000,12.50283,6.05386,3.74340
222,2.22000,12.50586,6.06707,3.74228
223,2.23000,12.50890,6.08028,3.74115
224,2.24000,12.51194,6.09349,3.74003
225,2.25000,12.51499,6.10669,3.73891
226,2.26000,12.51805,6.11989,3.73779
227,2.27000,12.52111,6.13309,3.73667
228,2.28000,12.52418,6.14628,3.73555
229,2.29000,12.52726,6.15946,3.73443
230,2.30000,12.53034,6.17264,3.73331
231,2.31000,12.53343,6.18581,3.73219
232,2.32000,12.53652,6.19898,3.73107
233,2.33000,12.53963,6.21215,3.72995
234,2.34000,12.54274,6.22531,3.72883
235,2.35000,12.54585,6.23847,3.72771
236,2.36000,12.54898,6.25162,3.72659
237,2.37000,12.55210,6.26477,3.72548
238,2.38000,12.55524,6.27791,3.72436
239,2.39000,12.55838,6.29105,3.72324
240,2.40000,12.56153,6.30418,3.72212
241,2.41000,12.56469,6.31731,3.72101
242,2.42000,12.56785,6.33044,3.71989
243,2.43000,12.57102,6.34356,3.71878
244,2.44000,12.57419,6.35667,3.71766
245,2.45000,12.57737,6.36978,3.71654
246,2.46000,12.58056,6.38289,3.71543
247,2.47000,12.58376,6.39599,3.71432
248,2.48000,12.58696,6.40909,3.71320
249,2.49000,12.59017,6.42218,3.71209
250,2.50000,12.59338,6.43527,3.71097
251,2.51000,12.59660,6.44836,3.70986
252,2.52000,12.59983,6.46144,3.70875
253,2.53000,12.60306,6.47451,3.70764
254,2.54000,12.60630,6.48759,3.70652
255,2.55000,12.60955,6.50065,3.70541
256,2.56000,12.61280,6.51371,3.70430
257,2.57000,12.61606,6.52677,3.70319
258,2.58000,12.61933,6.53983,3.70208
259,2.59000,12.62260,6.55288,3.70097
260,2.60000,12.62588,6.56592,3.69986
261,2.61000,12.62917,6.57896,3.69875
262,2.62000,12.63246,6.59200,3.69764
263,2.63000,12.63576,6.60503,3.69653
264,2.64000,12.63907,6.61806,3.69542
265,2.65000,12.64238,6.63108,3.69431
266,2.66000,12.64570,6.64410,3.69320
267,2.67000,12.64902,6.65711,3.69210
268,2.68000,12.65236,6.67012,3.69099
269,2.69000,12.65569,6.68313,3.68988
270,2.70000,12.65904,6.69613,3.68877
271,2.71000,12.66239,6.70913,3.68767
272,2.72000,12.66575,6.72212,3.68656
273,2.73000,12.66911,6.73511,3.68546
274,2.74000,12.67248,6.74810,3.68435
275,2.75000,12.67586,6.76108,3.68325
276,2.76000,12.67924,6.77405,3.68214
277,2.77000,12.68263,6.78703,3.68104
