x,y,value
0.00000,0.00000,0.97686
0.10000,0.00000,0.97689
0.20000,0.00000,0.97696
0.30000,0.00000,0.97705
0.40000,0.00000,0.97716
0.50000,0.00000,0.97728
0.60000,0.00000,0.97741
0.70000,0.00000,0.97751
0.80000,0.00000,0.97761
0.90000,0.00000,0.97768
1.00000,0.00000,0.97772
1.10000,0.00000,0.97774
1.20000,0.00000,0.97772
1.30000,0.00000,0.97766
1.40000,0.00000,0.97756
1.50000,0.00000,0.97738
1.60000,0.00000,0.97709
1.70000,0.00000,0.97660
1.80000,0.00000,0.97576
1.90000,0.00000,0.97426
2.00000,0.00000,0.97157
2.10000,0.00000,0.96685
2.20000,0.00000,0.95896
2.30000,0.00000,0.94654
2.39000,0.00000,0.92784
2.49000,0.00000,0.90000
2.59000,0.00000,0.85930
2.69000,0.00000,0.81363
2.79000,0.00000,0.78843
2.89000,0.00000,0.79689
2.99000,0.00000,0.83359
3.09000,0.00000,0.87482
3.19000,0.00000,0.90583
3.29000,0.00000,0.92766
3.39000,0.00000,0.94280
3.49000,0.00000,0.95264
3.59000,0.00000,0.95796
3.69000,0.00000,0.95917
3.79000,0.00000,0.95650
3.89000,0.00000,0.95009
3.99000,0.00000,0.94039
4.09000,0.00000,0.92881
4.19000,0.00000,0.91861
4.29000,0.00000,0.91446
4.39000,0.00000,0.91889
4.49000,0.00000,0.92940
4.59000,0.00000,0.94132
4.69000,0.00000,0.95144
4.79000,0.00000,0.95840
4.89000,0.00000,0.96173
4.99000,0.00000,0.96115
5.09000,0.00000,0.95896
5.19000,0.00000,0.95325
5.29000,0.00000,0.94320
5.39000,0.00000,0.92806
5.49000,0.00000,0.90672
5.59000,0.00000,0.87614
5.69000,0.00000,0.82235
5.79000,0.00000,0.74224
5.89000,0.00000,0.66565
5.99000,0.00000,0.63100
6.09000,0.00000,0.66884
6.19000,0.00000,0.74798
6.29000,0.00000,0.82929
6.39000,0.00000,0.88688
6.49000,0.00000,0.91752
6.59000,0.00000,0.93759
6.69000,0.00000,0.95118
6.79000,0.00000,0.96001
6.89000,0.00000,0.96531
6.99000,0.00000,0.96812
7.09000,0.00000,0.96921
7.19000,0.00000,0.96905
7.29000,0.00000,0.96783
7.39000,0.00000,0.96567
7.49000,0.00000,0.96267
7.59000,0.00000,0.95914
7.69000,0.00000,0.95559
7.79000,0.00000,0.95274
7.89000,0.00000,0.95123
7.99000,0.00000,0.95134
8.09000,0.00000,0.95286
8.19000,0.00000,0.95521
8.29000,0.00000,0.95775
8.39000,0.00000,0.96004
8.49000,0.00000,0.96185
8.59000,0.00000,0.96319
8.69000,0.00000,0.96418
8.79000,0.00000,0.96497
8.89000,0.00000,0.96570
8.99000,0.00000,0.96646
9.09000,0.00000,0.96727
9.19000,0.00000,0.96809
9.29000,0.00000,0.96888
9.39000,0.00000,0.96958
9.50000,0.00000,0.97017
9.60000,0.00000,0.97064
9.70000,0.00000,0.97098
9.80000,0.00000,0.97121
9.90000,0.00000,0.97132
0.00000,0.10000,0.97651
0.10000,0.10000,0.97655
0.20000,0.10000,0.97664
0.30000,0.10000,0.97677
0.40000,0.10000,0.97692
0.50000,0.10000,0.97709
0.60000,0.10000,0.97726
0.70000,0.10000,0.97740
0.80000,0.10000,0.97752
0.90000,0.10000,0.97761
1.00000,0.10000,0.97767
1.10000,0.10000,0.97770
1.20000,0.10000,0.97769
1.30000,0.10000,0.97765
1.40000,0.10000,0.97755
1.50000,0.10000,0.97738
1.60000,0.10000,0.97710
1.70000,0.10000,0.97663
1.80000,0.10000,0.97583
1.90000,0.10000,0.97442
2.00000,0.10000,0.97189
2.10000,0.10000,0.96745
2.20000,0.10000,0.96005
2.30000,0.10000,0.94843
2.39000,0.10000,0.93109
2.49000,0.10000,0.90585
2.59000,0.10000,0.86993
2.69000,0.10000,0.82802
2.79000,0.10000,0.80222
2.89000,0.10000,0.80714
2.99000,0.10000,0.83881
3.09000,0.10000,0.87634
3.19000,0.10000,0.90571
3.29000,0.10000,0.92684
3.39000,0.10000,0.94170
3.49000,0.10000,0.95150
3.59000,0.10000,0.95690
3.69000,0.10000,0.95820
3.79000,0.10000,0.95550
3.89000,0.10000,0.94879
3.99000,0.10000,0.93834
4.09000,0.10000,0.92545
4.19000,0.10000,0.91362
4.29000,0.10000,0.90866
4.39000,0.10000,0.91392
4.49000,0.10000,0.92608
4.59000,0.10000,0.93941
4.69000,0.10000,0.95040
4.79000,0.10000,0.95781
4.89000,0.10000,0.96131
4.99000,0.10000,0.96063
5.09000,0.10000,0.95841
5.19000,0.10000,0.95255
5.29000,0.10000,0.94224
5.39000,0.10000,0.92678
5.49000,0.10000,0.90507
5.59000,0.10000,0.87446
5.69000,0.10000,0.82443
5.79000,0.10000,0.74926
5.89000,0.10000,0.67915
5.99000,0.10000,0.64990
6.09000,0.10000,0.68707
6.19000,0.10000,0.76188
6.29000,0.10000,0.83869
6.39000,0.10000,0.89024
6.49000,0.10000,0.91911
6.59000,0.10000,0.93849
6.69000,0.10000,0.95169
6.79000,0.10000,0.96026
6.89000,0.10000,0.96537
6.99000,0.10000,0.96802
7.09000,0.10000,0.96892
7.19000,0.10000,0.96846
7.29000,0.10000,0.96679
7.39000,0.10000,0.96394
7.49000,0.10000,0.96001
7.59000,0.10000,0.95537
7.69000,0.10000,0.95071
7.79000,0.10000,0.94699
7.89000,0.10000,0.94509
7.99000,0.10000,0.94541
8.09000,0.10000,0.94760
8.19000,0.10000,0.95082
8.29000,0.10000,0.95421
8.39000,0.10000,0.95718
8.49000,0.10000,0.95947
8.59000,0.10000,0.96109
8.69000,0.10000,0.96223
8.79000,0.10000,0.96312
8.89000,0.10000,0.96397
8.99000,0.10000,0.96491
9.09000,0.10000,0.96595
9.19000,0.10000,0.96704
9.29000,0.10000,0.96809
9.39000,0.10000,0.96901
